event_id_cnty,event_date,notes,topic_manual
RUS10694,15 July 2023,"On 15 July 2023, animal rights activists staged pickets in Kaliningrad against the use of animals in circuses.",environmental
RUS10633,08 July 2023,"On 8 July 2023, several animal rights activists stage a picket in Irkutsk against the law authorizing the euthanasia of stray animals.",legal
RUS10562,06 July 2023,"On 6 July 2023, pro-Russian protesters gathered in front of the American embassy in Moscow in support of a pro-Russian activist charged with interfering in US politics.",political
RUS10560,04 July 2023,"On 4 July 2023, dozens of pro-Russian protesters gathered in front of the American embassy in Moscow, protesting against the involvement of the US in other countries.",political
RUS10436,24 June 2023,"On 24 June 2023, residents, including government representatives and members of the ruling United Russia party, gathered in Gorno-Altaysk to express their support to Russian president Vladimir Putin, during an attempted mutiny by the head of the Wagner Group Prigozhin.",political
RUS10425,17 June 2023,"On 17 June 2023, 4 residents staged pickets in Bataysk, demanding the authorities resolve the issue of the poor drainage system that causes frequent floodings.",environmental
RUS10346,12 June 2023,"On 12 June 2023, people protested in Kemerovo, demanding the authorities install plumbing in their homes.",social
RUS10267,09 June 2023,"On 9 June 2023, people protested in Berdsk due to the lack of sidewalks in their neighborhood.",environmental
RUS10146,04 June 2023,"On 4 June 2023, 4 activists staged pickets at different locations in Krasnodar in support of the Russian opposition politician Navalny. Navalny's Anti-Corruption Foundation earlier called on his supporters to take to the streets and show their support in different cities across the world. Police arrested all protesters.",political
RUS10126,02 June 2023,"On 2 June 2023, activists staged a protest action in the Bitsevsky Forest in Moscow, trying to stop construction works there. Police arrested 3 protesters.",environmental
RUS10125,31 May 2023,"On 31 May 2023, around 10 KPRF members staged pickets in front of the administration of Primorskiy Krai in Vladivostok, protesting against their party members' expulsion from the electoral commissions before the September elections. Protesters claim that this was done to be able to control the election results. Police arrested all participants.",political
RUS10127,28 May 2023,"On 28 May 2023, over 100 vehicles participated in a motor rally in Yekaterinburg in support of Wagner Group, despite failing to obtain authorization from the authorities. The rally was organised by the head of a local Wagner Group branch.",political
RUS9896,23 May 2023,"On 23 May 2023, several dozen NOD activists staged a protest in front of the embassy of Norway in Moscow against the Norway's support to Ukraine and the expulsion of diplomats.",political
RUS9892,22 May 2023,"On 22 May 2023, hundreds of people marched in Nalchik to commemorate the anniversary of the Circassian genocide and the end of the Caucasian War, despite authorities refusing them permission to hold a public event.",political
RUS9881,16 May 2023,"On 16 May 2023, around 100 KPRF and animal rights activists staged a picket in Ryazan, protesting against the draft law authorizing the euthanasia of stray animals.",legal
RUS9887,15 May 2023,"On 15 May 2023, several protesters staged pickets in Sterlitamak against the draft law authorizing the euthanasia of stray animals.",legal
RUS9883,13 May 2023,"On 13 May 2023, activists staged pickets in Novosibirsk in support of political prisoners.",political
RUS9846,04 May 2023,"On 4 May 2023, people protested in Ishmurzino against the plans of Eurasian Mining Company to begin exploration works in the area.",environmental
RUS9825,01 May 2023,"On 1 May 2023, 30 people protested in Novosibirsk against the war in Ukraine and political repressions, while the official Labor Day celebration was taking place on the other side of the city where the mayor gave a speech in support of the Russian invasion.",political
RUS9842,30 April 2023,"On 30 April 2023, several dozen of people protested near Novaya Urada against the construction of a landfill close to a natural reserve, due to environmental concerns.",environmental
RUS9747,25 April 2023,"On 25 April 2023, 100 people protested in Izhevsk against the euthanasia of stray animals. The protest was organised by Alliance for Animals.",environmental
RUS9777,23 April 2023,"On 23 April 2023, around 200 people protested in Tomsk against the transfer of stray dogs held in an animal shelter to another shelter in a closed town, fearing that this will prevent visitors and volunteers from having access to the animals.",environmental
RUS9750,20 April 2023,"On 20 April 2023, around 50 KPRF, Left Front and other left activists protested in Penza against rising prices and utility tariffs.",economic
RUS9746,17 April 2023,"Around 17 April 2023 (as reported), people protested in Novaya Urada against the construction of a landfill close to the village, due to environmental concerns.",environmental
RUS9717,09 April 2023,"On 9 April 2023, over 100 people protested in Astrakhan, demanding the authorities solve the problem of stray dogs that regularly attack residents. The protest was organized by a local KPRF deputy.",environmental
RUS9700,06 April 2023,"On 6 April 2023, around 150 people protested in Chirkey against fish farming in the Chirkey reservoir.",environmental
RUS9644,28 March 2023,"On 28 March 2023, people protested in Kirov against rising utility tariffs. The protest was organized by a local KPRF branch.",economic
RUS9655,27 March 2023,"On 27 March 2023, people protested in Miskovo against the planned construction of a landfill between Miskovo and Kostroma.",environmental
RUS9643,25 March 2023,"On 25 March 2023, people protested in Rybinsk against the merger of city hospitals. The protest was organized by a local KPRF branch.",social
RUS9648,25 March 2023,"On 25 March 2023, around 100 people protested in Lakinsk against the planned cutting of 85 hectares of forest in the region to expand the landfill 'Charter'. The protest was co-organized by KPRF and A Just Russia.",environmental
RUS9652,25 March 2023,"On 25 March 2023, around 300 people protested in Novosibirsk against rising utility tariffs.",economic
RUS9614,19 March 2023,"On 19 March 2023, around 1000 people gathered in Biysk, protesting against rising utility tariffs. Protesters demanded the resignation of the governor. The protest was organized by the local KPRF branch.",economic
RUS9629,19 March 2023,"On 19 March 2023, people gathered in Vidnoye, protesting against the construction of a highway close to their homes, due to health and environmental concerns.",environmental
RUS9531,02 March 2023,"On 2 March 2023, KPRF activists staged pickets in Krasnoturyinsk, protesting against rising utility prices.",economic
RUS9546,28 February 2023,"On 28 February 2023, people held a spontaneous rally in Kursk against the construction of an ammonia plant.",environmental
RUS9560,26 February 2023,"On 26 February 2023, around 20 people gathered in Barnaul on the eve of the 8th anniversary of the murder of a prominent Russian opposition politician Boris Nemtsov, chairman of the PARNAS opposition party. The participants laid flowers to a memorial to victims of political repression and gave speeches about the importance of human rights and democratic values. The rally was organized by a local Yabloko branch.",political
RUS9519,24 February 2023,"On 24 February 2023, on the one-year anniversary of the Russian military invasion of Ukraine, 3 activists staged a picket in Samara against the war and in memory of the victims. Police intervened, arresting everyone.",political
RUS9489,15 February 2023,"On 15 February 2023, residents blocked a street in Ivanovo, protesting against unremoved snow. They say that the street has not been cleaned since the beginning of winter, and cars and strollers with children get stuck on it.",environmental
RUS9484,12 February 2023,"On 12 February 2023, people protested in Kazan against censorship. Members of Yabloko also participated in the mass picket.",political
RUS9487,12 February 2023,"On 12 February 2023, around 500 people protested in Barnaul against rising utility tariffs.",economic
RUS9468,11 February 2023,"On 11 February 2023, dozens of Left Front and KPRF supporters protested in Tyumen against the law recently passed in the Russian parliament governing the collection and use of the citizens' biometric data.",legal
RUS9432,05 February 2023,"On 5 February 2023, around 20 people participated in an organized picket in Chelyabinsk against the abortion ban. The protest was organized by a local feminist organization.",social
RUS9441,05 February 2023,"On 5 February 2023, people staged a protest in Khabarovsk in support of the jailed LDPR governor of Khabarovsk Krai Sergei Furgal. This week, he was sentenced to 22 years in prison.",political
RUS9442,05 February 2023,"On 5 February 2023, residents protested in Vidnoye against the construction of a new highway close to their homes.",environmental
RUS9400,01 February 2023,"On 1 February 2023, several women staged pickets in front of the city administration in Ufa, demanding to restore gas and hot water supply to their houses.",social
RUS9396,01 February 2023,"On 1 February 2023, residents gathered in Kovylkino to take part in a concert-rally in support of the Russian military invasion of Ukraine. Members of the Russian military forces took part in the event.",political
RUS9394,29 January 2023,"On 29 January 2023, around 300 residents gathered in Vylgort to take part in a rally in support of the Russian military invasion of Ukraine. The head of the city administration, as well as other members of the administration, United Russia members, and members of Russian military forces, took part in the event.",political
RUS9371,23 January 2023,"On 23 January 2023, LDPR activists staged organized pickets in Barnaul against poor quality snow removal.",environmental
RUS9368,23 January 2023,"On 23 January 2023, residents gathered in Kirsanov to take part in a concert-rally in support of the Russian military invasion of Ukraine. The mayor of the city, United Russia member, spoke at the event.",political
RUS9377,21 January 2023,"On 21 January 2023, over 100 residents staged a picket in Ryazan, protesting against the construction of multi-story buildings in the city, which they argue will overburden the system of public transport and schools.",social
RUS9357,16 January 2023,"On 16 January 2023, around 300 people gathered in Oryol to participate in a demonstration in support of the Russian military invasion of Ukraine.",political
RUS9332,12 January 2023,"On 12 January 2023, residents blocked the road in Makhachkala, protesting over utility cuts and demanding that the electricity supply be restored. One of the villages near Makhachkala has been cut off from electricity for 4 days in a row.",social
RUS9328,11 January 2023,"Around 11 January 2023 (as reported), 5 employees of private sanatoriums staged a protest in Moscow against the expropriation of the private sanatoriums by the state.",legal
RUS9305,02 January 2023,"On 2 January 2023, several hundred protesters gathered in Kayakent, demanding an impartial investigation into the death of a young resident. According to the protesters, the authorities do not properly investigate the case because of the suspect's connections to law enforcement. Police broke down the protest, arresting and beating the participants with batons.",social
RUS9261,23 December 2022,"On 23 December 2022, NBP members ('Nazbols') staged a protest action in St. Petersburg. They were holding signs, saying 'The banker is the enemy of the soldier'. Police intervened, arresting all participants.",economic
RUS9297,23 December 2022,"On 23 December 2022, residents blocked a road in Makhachkala, protesting against power outages.",social
RUS9259,19 December 2022,"On 19 December 2022, three journalists staged pickets at different locations in Makhachkala, protesting against repressions against journalists and showing support for their colleague who is facing trumped-up charges in Dagestan.",political
RUS9296,19 December 2022,"Around 19 December 2022 (as reported), residents gathered in Naberezhnyye Chelny, protesting against the construction of a multistory building in the place of the cut-down green area.",environmental
RUS9257,19 December 2022,"On 19 December 2022, people gathered in Ivanovo to take part in a rally in support of the Russian military invasion of Ukraine. A city council deputy and the head of a local veterans' association spoke at the event.",war (pro)
RUS9295,19 December 2022,"On 19 December 2022, people gathered in Velikiye Luki to take part in a concert-rally in support of the Russian military invasion of Ukraine.",war (pro)
RUS9294,18 December 2022,"On 18 December 2022, around 20 residents gathered in St. Petersburg, protesting against the cutting down of a local green area.",environmental
RUS9258,16 December 2022,"On 16 December 2022, people gathered in Tambov to take part in a concert- rally in support of the Russian military invasion of Ukraine. The head of the region from the United Russia party spoke at the event.",war (pro)
RUS9260,15 December 2022,"On 15 December 2022, dozens of NOD activists staged an anti-US and anti-LGBT protest in front of the American embassy in Moscow. During the protest, activists were chanting slogans, calling on the Russian authorities to target the 'centers of decision-making', meaning Washington.",political
RUS9256,15 December 2022,"On 15 December 2022, people gathered in Smolensk to take part in a rally in support of the Russian military invasion of Ukraine. The rally was organized by the youth wing of the ruling United Russia party.",war (pro)
RUS9298,14 December 2022,"On 14 December 2022, around 40 people staged a protest in Anapa against the construction of a new residential complex, due to concerns related to the lack of transport and social infrastructure. They organized a mass picket near the construction site and blocked the movement of construction vehicles.",social
RUS9233,08 December 2022,"On 8 December 2022, people gathered in Terek to participate in a rally in support of the Russian armed forces. Members of the local administration as well as military personnel took part in the event.",war (pro)
RUS9235,05 December 2022,"On 5 December 2022, KPRF activists held pickets in Kirov against the socio-economic policies of the government.",economic
RUS9255,05 December 2022,"On 5 December 2022, residents gathered in Kyzyl to take part in a rally in support of the Russian military invasion of Ukraine.",war (pro)
RUS9234,04 December 2022,"On 4 December 2022, activists staged a demonstration in Irkutsk to protest against the US and NATO involvement in Ukraine and show support for the Russian army. A KPRF deputy took part in the event.",political
RUS9254,04 December 2022,"On 4 December 2022, activists staged a picket in front of the concert hall in Nizhny Novgorod, where a theater play, involving a famous actress who publicly opposed the Russian military invasion in Ukraine, was taking place. The protesters were holding signs such as 'traitor', 'out of Russia', etc.",cultural
RUS9230,02 December 2022,"On 2 December 2022, people gathered in Ufa to participate in a rally, organized by the youth branch of the ruling United Russia party, in support of the Russian military invasion of Ukraine.",war (pro)
RUS9222,30 November 2022,"On 30 November 2022, property owners protested in front of the Prosecutor General's office in Moscow. They have been waiting for 10 years for their apartments to be finished but still haven't received them because of the construction company's fraud.",social
RUS9212,29 November 2022,"Around 29 November 2022 (as reported), protesters gathered in Pushkino, protesting against the construction of a warehouse, because of environmental concerns and fears related to the potential influx of migrant workers to the area.",environmental
RUS9213,29 November 2022,"Around 29 November 2022 (as reported), activists staged pickets in Vladikavkaz, demanding to stop cutting down trees in a local park.",environmental
RUS9210,28 November 2022,"On 28 November 2022, 3 journalists staged pickets in Makhachkala, demanding to stop pressure on independent journalism and to release political prisoners.",political
RUS9211,28 November 2022,"On 28 November 2022, residents staged pickets in front of the regional government building in Rostov-on-Don, protesting against the absence of heating in the residential buildings where they live and the government's inaction.",social
RUS9208,27 November 2022,"On 27 November 2022, around 12 activists, all of them women, staged pickets in Kazan against domestic violence.",social
RUS9207,27 November 2022,"On 27 November 2022, people gathered in Barabinsk in support of the Russian armed forces. The head of the Barabinskiy district spoke at the event.",war (pro)
RUS9205,26 November 2022,"On 26 November 2022, residents protested in Ryazan against the restrictions imposed on several neighborhoods in the Ryazan region, which are related to their current status of cultural heritage ('Yesenin's Russia').",cultural
RUS9206,26 November 2022,"On 26 November 2022, people gathered in Saransk in support of the Russian military invasion of Ukraine.",war (pro)
RUS9180,25 November 2022,"On 25 November 2022, 4 activists of a youth opposition movement Vesna staged anti-war pickets at different locations in Novosibirsk, protesting against the Russian military invasion of Ukraine.",war (anti)
RUS9161,25 November 2022,"On 25 November 2022, residents gathered in Krasnoyarsk to participate in a concert-rally in support of the Russian armed forces. State Duma deputies spoke at the event.",war (pro)
RUS9179,25 November 2022,"On 25 November 2022, residents gathered in Nalchik to participate in a rally in support of the Russian military invasion of Ukraine. The vice-chairman of the regional parliament, who is a member of the ruling United Russia party, spoke at the event.",war (pro)
RUS9176,24 November 2022,"On 24 November 2022, activists protested in Novorossiysk, demanding to close down a landfill located close to residential areas, due to environmental and health concerns.",environmental
RUS9167,21 November 2022,"On 21 November 2022, over 10 residents staged a mass picket in Rostov-on-Don, because of the absence of heating in their homes, despite low temperatures.",social
RUS9163,20 November 2022,"On 20 November 2022, Left Front activists staged pickets at different locations in Penza, demanding freedom for political prisoners.",political
RUS9159,20 November 2022,"On 20 November 2022, residents gathered in Khabarovsk to participate in a concert-rally in support of the Russian armed forces. Representatives of the local authorities also took part in the event.",war (pro)
RUS9178,19 November 2022,"On 19 November 2022, activists of the All-Russian Society for Protection of Historical and Cultural Monuments staged a mass picket in Ryazan, protesting against the authorities' plans to construct multi-store buildings in the historical centre.",cultural
RUS9157,18 November 2022,"Around 18 November 2022 (as reported), several dozen residents protested in front of the local school building in Tsvetkovka against the appointment of a new school principal, whose candidacy was decided without consultations with the parents.",social
RUS9153,18 November 2022,"On 18 November 2022, people gathered in Birobidzhan to participate in a concert-rally in support of the Russian military invasion of Ukraine.",war (pro)
RUS9123,18 November 2022,"On 18 November 2022, people gathered in Saratov to participate in a concert-rally in support of the Russian military invasion of Ukraine. High-level state officials and members of a veterans' organization Combat Brotherhood spoke at the event.",war (pro)
RUS9125,17 November 2022,"On 17 November 2022, activists staged organized pickets in Cheboksary in support of the couriers' trade union leader who had been arrested and charged with repeatedly violating the law on public gatherings, which is a criminal offense under the Russian legislation.",political
RUS9128,17 November 2022,"On 17 November 2022, people gathered in Nizhny Novgorod to participate in a concert-rally in support of the Russian military invasion of Ukraine. ONF members spoke at the event.",war (pro)
RUS9152,14 November 2022,"Around 14 November 2022 (as reported), dozens of residents gathered in Novyi Khushet, demanding the authorities put an end to the illegal land seizure and find a solution to the problem with the allocation of land to the residents. People complained that they have waited for years for the land slots to be allocated to them by the local authorities.",legal
RUS9127,14 November 2022,"On 14 November 2022, people gathered in Smolensk to participate in a rally in support of the Russian military invasion of Ukraine. The rally was organized by the pro-government All-Russia People's Front.",war (pro)
RUS9151,13 November 2022,"On 13 November 2022, people gathered in Tambov to participate in a rally in support of the Russian military invasion of Ukraine.",war (pro)
RUS9126,12 November 2022,"On 12 November 2022, NOD activists staged a demonstration in Moscow, calling for a nuclear strike on Washington.",political
RUS9113,11 November 2022,"Around 11 November 2022 (as reported), KPRF members held a series of pickets in front of the Ivanovo administration, protesting against the new system of electoral division that was being discussed.",political
RUS9154,11 November 2022,"On 11 November 2022, several activists staged a protest action in Ufa, protesting against the removal of a monument. Despite the authorities' claims that the monument was removed to carry out restoration works, the activists are worried that it was removed permanently. During the protest, an unknown individual attacked protesters with tear gas, after which police intervened and arrested 10 people.",cultural
RUS9107,11 November 2022,"On 11 November 2022, around 300 people gathered in Kyzyl in support of the Russian armed forces.",war (pro)
RUS9124,11 November 2022,"On 11 November 2022, people gathered in Oryol to participate in a concert-rally in support of the Russian military invasion of Ukraine. High-level state officials and the ruling United Russia party members spoke at the event.",war (pro)
RUS9106,10 November 2022,"On 10 November 2022, around 300 people gathered in Yelizovo in support of the Russian armed forces.",war (pro)
RUS9115,08 November 2022,"On 8 November 2022, 5 activists blocked the road to prevent the construction company's drivers to access the Bitzevsky Forest in Moscow, during the action to protect the forest from the ongoing construction works. The company's workers attacked the activists. Later, the police arrived at the place and arrested everyone.",environmental
RUS9105,08 November 2022,"On 8 November 2022, people gathered in Magadan in support of the Russian armed forces. The head of the region and Combat Brotherhood members spoke at the event.",war (pro)
RUS9114,06 November 2022,"On 6 November 2022, activists from the Tatar Youth Union held a series of pickets in Kazan on the day of the Constitution of Tatarstan. Activists demanded that the provisions of the Constitution are followed by the authorities.",political
RUS9103,05 November 2022,"On 5 November 2022, dozens of Russian draftees protested at the military training center in Kazan, denouncing the bad quality of equipment, food, and unsanitary living conditions. Since the start of the mobilizations, training and living conditions of the draftees, as well as the lack of military equipment have been the source of numerous complaints on social media, with several protests taking place at training centers.",social
RUS9082,04 November 2022,"On 4 November 2022, activists gathered on the central square in Ulan-Ude, where a pro-government rally was supposed to take place. Police started to arrest everyone, arriving at the square, and finally were forced to cancel the rally, fearing that it would be disrupted by anti-war protesters. At least 8 activists were arrested.",war (pro)
RUS9099,02 November 2022,"On 2 November 2022, activists staged a protest in Nizhny Novgorod against the so-called 'gay propaganda'. Earlier this week, the State Duma approved amendments to toughen a 2013 'gay propaganda' law, which bans the dissemination of information related to LGBTQ communities among minors.",social
RUS9074,01 November 2022,"On 1 November 2022, at night, draftees staged a protest outside the military training center in Ulyanovsk, demanding payment of mobilization benefits. OMON forces arrived at the center and broke up the gathering.",economic
RUS9071,31 October 2022,"On 31 October 2022, 3 activists staged a protest action in front of the governor's administration office in Perm, demanding to make the promised payments to the mobilized and their families. They scattered flyers and unfolded a banner asking 'where is the money'. Police arrested the protesters.",economic
RUS9067,31 October 2022,"On 31 October 2022, thousands took part in a concert-rally in Volzhsky to show support for the Russian armed forces. State officials spoke at the event.",war (pro)
RUS9095,30 October 2022,"On 30 October 2022, around 200 people took part in the 'Returning the Names' ceremony in Tomsk to mark the Day of Remembrance of the Victims of Political Repressions. This year, the authorities did not authorize the ceremony, traditionally organized by the Memorial human rights group, to be held in Moscow, but small gatherings took place in several cities across Russia.",political
RUS9092,30 October 2022,"On 30 October 2022, residents took part in a gathering in Birobidzhan to mark the Day of Remembrance of the Victims of Political Repressions. This year, the authorities did not authorize the 'Returning the Names' ceremony, traditionally organized by the Memorial human rights group to mark Remembrance Day, to be held in Moscow, but small gatherings took place in several cities across Russia.",political
RUS9097,30 October 2022,"On 30 October 2022, residents took part in a gathering in Yekaterinburg to mark the Day of Remembrance of the Victims of Political Repressions. This year, the authorities did not authorize the 'Returning the Names' ceremony, traditionally organized by the Memorial human rights group to mark Remembrance Day, to be held in Moscow, but small gatherings took place in several cities across Russia.",political
RUS9091,30 October 2022,"On 30 October 2022, residents took part in a gathering in Astrakhan to mark the Day of Remembrance of the Victims of Political Repressions. This year, the authorities did not authorize the 'Returning the Names' ceremony, traditionally organized by the Memorial human rights group to mark Remembrance Day, to be held in Moscow, but small gatherings took place in several cities across Russia.",political
RUS9093,30 October 2022,"On 30 October 2022, residents took part in a gathering in Orenburg to mark the Day of Remembrance of the Victims of Political Repressions. This year, the authorities did not authorize the 'Returning the Names' ceremony, traditionally organized by the Memorial human rights group to mark Remembrance Day, to be held in Moscow, but small gatherings took place in several cities across Russia.",political
RUS9098,30 October 2022,"On 30 October 2022, residents took part in a gathering in Yoshkar-Ola to mark the Day of Remembrance of the Victims of Political Repressions. This year, the authorities did not authorize the 'Returning the Names' ceremony, traditionally organized by the Memorial human rights group to mark Remembrance Day, to be held in Moscow, but small gatherings took place in several cities across Russia.",political
